Tweet id,Fecha de Publicación,Tweet,Retweets,Favoritos
752586245436502016,Mon Jul 11 19:31:57 +0000 2016,"Hoy en Miami @Gr_Naranjo inicia explicación del Proceso de Paz y acuerdo ""Fin del Conflicto"" a colombianos en EE.UU. https://t.co/T7jmIxfp9A",37,34
752526809002962944,Mon Jul 11 15:35:47 +0000 2016,"DECLARACIÓN de Humberto de la Calle sobre incidente entre Ejército y Farc en la vereda Candilejas (La Uribe, Meta)
https://t.co/eAOqhnOBJc",58,39
752511308847800320,Mon Jul 11 14:34:11 +0000 2016,"DECLARACIÓN de Humberto de la Calle sobre incidente en vereda Candilejas (La Uribe, Meta)? https://t.co/1bIqHwdHXS https://t.co/zXUIPSXtZO",32,27
752509033878319104,Mon Jul 11 14:25:09 +0000 2016,"DECLARACIÓN de Humberto de la Calle sobre incidente en vereda Candilejas (La Uribe, Meta) ? https://t.co/1bIqHwdHXS https://t.co/cONEzK6CT2",30,27
752306364056297474,Mon Jul 11 00:59:49 +0000 2016,"BRICEÑO, Antioquia | Mesa de Conversaciones inicia esfuerzo conjunto de sustitución voluntaria de cultivos ilícitos https://t.co/7VMCzTqG40",58,49
752152721784918017,Sun Jul 10 14:49:17 +0000 2016,"#RealidadDelProcesoDePaz es q las víctimas están en el centro de los acuerdos. Tragedia tener 7,9 MILLONES Víctimas
https://t.co/V1pu0LA5lM",39,22
751808311108857856,Sat Jul 09 16:00:43 +0000 2016,"UN MITO: ¿En La Habana se está negociando el modelo de libre empresa y de mercado? ¡FALSO! Habla Gonzalo Restrepo
https://t.co/62CaTTyN3R",48,33
751537824130854912,Fri Jul 08 22:05:54 +0000 2016,"En zonas veredales no se va a negociar, se va a cumplir con un acuerdo: @ComisionadoPaz ? https://t.co/ZatLvnBV8o https://t.co/kj0emDHCrk",41,28
751494166044082176,Fri Jul 08 19:12:25 +0000 2016,"EJES ACUERDO DROGAS: Sustitución y erradicación cultivos ilícitos, consumo y narcotráfico ? https://t.co/jrXJwXqGwH https://t.co/bgL0MyaQNR",27,23
751421792476991493,Fri Jul 08 14:24:50 +0000 2016,"Con el Acuerdo de Garantías de Seguridad queremos que la combinación de armas y política quede sepultada en Colombia
https://t.co/MRuJNYGExk",23,18
751015735317540864,Thu Jul 07 11:31:19 +0000 2016,"¿Las Farc pagarán penas simbólicas por sus crímenes?  ¡FALSO! | Habla Sergio Jaramillo @ComisionadoPaz
https://t.co/GYRCvsxi4f",83,57
750793812310650880,Wed Jul 06 20:49:28 +0000 2016,DECLARACIÓN | La oportunidad histórica de terminar el conflicto está ya sobre la mesa | Ver? https://t.co/mOg5K4MAci https://t.co/XrX7vFWiBp,26,15
750736201456427008,Wed Jul 06 17:00:33 +0000 2016,"DECLARACIÓN | ""Estamos al borde de una nueva realidad: la fase del fin de la guerra | Ver? https://t.co/mOg5K4MAci https://t.co/GkwyMD9Hwr",80,50
750675516512886785,Wed Jul 06 12:59:24 +0000 2016,"El cese al fuego no es sólo militar, también es cese de hostilidades, extorsiones, minería ilegal, narcotráfico.
https://t.co/SmK1VX6ETS",42,27
750468736361127938,Tue Jul 05 23:17:44 +0000 2016,Acuerdo Drogas Ilícitas contempla un programa de sustitución y desarrollo alternativo | Ver? https://t.co/A9VRPQXeJW https://t.co/AP4THocEKK,50,39
750372391629549570,Tue Jul 05 16:54:54 +0000 2016,"LA HABANA | Comunicado sobre revisión de los pendientes del punto ""Participación Política"" ? https://t.co/qFyRZXYN5E https://t.co/xxN0HzZExw",71,37
750282168555937792,Tue Jul 05 10:56:23 +0000 2016,"""La médula de la Constitución sigue siendo un instrumento válido para el logro de la paz"": Humberto de la Calle
https://t.co/pkuejwoNq3",64,58
749638477709348865,Sun Jul 03 16:18:35 +0000 2016,"Estar cara a cara con Farc lo interpretamos como una oportunidad para que nunca más hayan víctimas: Óscar Naranjo
https://t.co/OC6iCUu7gL",101,102
748853892956327937,Fri Jul 01 12:20:55 +0000 2016,"Todas las armas de la Farc, incluidas las de las milicias, se entregarán a la ONU: Humberto de la Calle.
https://t.co/f12fTOC1nw",138,80
748648222319484928,Thu Jun 30 22:43:40 +0000 2016,"Cese al fuego no es sólo lo militar, también es cese de hostilidades, extorsiones, minería ilegal, narcotráfico.
https://t.co/xEkZDjTrPV",163,118
748526139115712512,Thu Jun 30 14:38:33 +0000 2016,Este es el paso a paso del cese al fuego y la dejación de armas de las Farc | Ver acuerdo ? https://t.co/hjntOuJBoe https://t.co/LdKS6XimsT,76,42
748261130083110912,Wed Jun 29 21:05:30 +0000 2016,LA ESENCIA DEL ACUERDO AGRARIO | Es fundamental cerrar la deuda histórica que tenemos con el campo colombiano ? https://t.co/BAQCBxNXkX,30,13
748134140424265728,Wed Jun 29 12:40:53 +0000 2016,"""Duré 42 años en el Ejército y nunca me imaginé estar sentado en la Mesa con las Farc"": Gral (r) Jorge E. Mora.
https://t.co/qPhdLjO6EH",194,141
747839645132591105,Tue Jun 28 17:10:40 +0000 2016,"Hay que rodear de garantías y protección a quienes dejen las armas para reintegrarse a la vida civil: G (r) ONaranjo
https://t.co/1MSo3UtwMq",72,61
747794180525678592,Tue Jun 28 14:10:00 +0000 2016,¿Qué es y en qué consiste el Cese al Fuego y de Hostilidades Bilateral y Definitivo? | Ver? https://t.co/3oUpLtBnET https://t.co/wnMHabdWpv,35,18
747540568322936833,Mon Jun 27 21:22:14 +0000 2016,Mesa de Conversaciones recibe insumos para la construcción de un enfoque étnico diferencial en punto 6 de la agenda. https://t.co/BPobFqg09n,39,36
747518676560052224,Mon Jun 27 19:55:15 +0000 2016,Estos acuerdos traen oportunidades para los empresarios: Gonzalo Restrepo en @elcolombiano ? https://t.co/3Xl9yUMFrc https://t.co/P6QZZMRLTC,37,23
747468261453766656,Mon Jun 27 16:34:55 +0000 2016,Zonas Transitorias son un paso imprescindible para el fin del conflicto: Gral (r) Mora |Ver? https://t.co/abUi6LPf3i https://t.co/ZdeyL2xVnY,54,44
747451061359652867,Mon Jun 27 15:26:34 +0000 2016,Hay que prepararse para la participación política de las Farc: HCalle en @ELTIEMPO | Ver ? https://t.co/eOIYa6y11O https://t.co/keYv1nkOHU,53,38
747211041315106818,Sun Jun 26 23:32:49 +0000 2016,Así será el cese al fuego y la dejación de armas de las Farc | Conozca el acuerdo ? https://t.co/hjntOuJBoe https://t.co/dwj6S8yyEu,135,81
